Size,Seq,Par,Libc
10, 0.000000, 0.000172, 0.000000
10, 0.000001, 0.000201, 0.000000
10, 0.000001, 0.000140, 0.000001
10, 0.000000, 0.000133, 0.000000
10, 0.000000, 0.000141, 0.000001
10, 0.000000, 0.000142, 0.000001
10, 0.000001, 0.000138, 0.000000
10, 0.000001, 0.000136, 0.000000
10, 0.000001, 0.000143, 0.000000
10, 0.000000, 0.000134, 0.000001
10, 0.000001, 0.000145, 0.000001
10, 0.000000, 0.000166, 0.000001
10, 0.000000, 0.000150, 0.000001
10, 0.000001, 0.000150, 0.000000
10, 0.000000, 0.000196, 0.000000
10, 0.000001, 0.000160, 0.000000
10, 0.000000, 0.000148, 0.000000
10, 0.000001, 0.000146, 0.000000
10, 0.000000, 0.000192, 0.000000
15, 0.000000, 0.000231, 0.000001
15, 0.000000, 0.000200, 0.000000
15, 0.000001, 0.000212, 0.000000
15, 0.000001, 0.000211, 0.000001
15, 0.000000, 0.000207, 0.000000
15, 0.000001, 0.000206, 0.000001
15, 0.000001, 0.000200, 0.000001
15, 0.000000, 0.000312, 0.000000
15, 0.000000, 0.000198, 0.000001
15, 0.000001, 0.000188, 0.000001
20, 0.000001, 0.000353, 0.000000
20, 0.000001, 0.000305, 0.000001
20, 0.000001, 0.000342, 0.000000
20, 0.000001, 0.000273, 0.000001
20, 0.000001, 0.000338, 0.000001
20, 0.000001, 0.000263, 0.000000
20, 0.000004, 0.000251, 0.000001
20, 0.000001, 0.000266, 0.000001
20, 0.000000, 0.000285, 0.000000
20, 0.000001, 0.000268, 0.000000
25, 0.000001, 0.000381, 0.000001
25, 0.000001, 0.000311, 0.000001
25, 0.000002, 0.000312, 0.000001
25, 0.000001, 0.000391, 0.000001
25, 0.000001, 0.000302, 0.000001
25, 0.000001, 0.000328, 0.000001
25, 0.000001, 0.000340, 0.000001
25, 0.000001, 0.000379, 0.000001
25, 0.000001, 0.000373, 0.000001
25, 0.000001, 0.000347, 0.000001
30, 0.000001, 0.000418, 0.000001
30, 0.000001, 0.000417, 0.000002
30, 0.000001, 0.000348, 0.000001
30, 0.000002, 0.000439, 0.000001
30, 0.000001, 0.000357, 0.000001
30, 0.000001, 0.000440, 0.000001
30, 0.000001, 0.000447, 0.000001
30, 0.000002, 0.000432, 0.000001
30, 0.000005, 0.000404, 0.000001
30, 0.000001, 0.000432, 0.000001
35, 0.000001, 0.000526, 0.000001
35, 0.000001, 0.000573, 0.000001
35, 0.000001, 0.000567, 0.000001
35, 0.000002, 0.000595, 0.000001
35, 0.000001, 0.000581, 0.000001
35, 0.000001, 0.000581, 0.000001
35, 0.000001, 0.000484, 0.000001
35, 0.000001, 0.000555, 0.000001
35, 0.000002, 0.000632, 0.000001
35, 0.000002, 0.000587, 0.000001
40, 0.000002, 0.000648, 0.000002
40, 0.000002, 0.000599, 0.000002
40, 0.000002, 0.000551, 0.000001
40, 0.000002, 0.000646, 0.000002
40, 0.000002, 0.000493, 0.000001
40, 0.000002, 0.000542, 0.000001
40, 0.000002, 0.000567, 0.000002
40, 0.000002, 0.000504, 0.000002
40, 0.000002, 0.000590, 0.000001
40, 0.000002, 0.000606, 0.000001
45, 0.000002, 0.000736, 0.000002
45, 0.000002, 0.000748, 0.000002
45, 0.000002, 0.000741, 0.000002
45, 0.000002, 0.000769, 0.000002
45, 0.000002, 0.000710, 0.000002
45, 0.000002, 0.000819, 0.000002
45, 0.000002, 0.000822, 0.000001
